"","Location","Date","Xylazine_ngL","AveFlowrateMGD","massload_ug","Popsize","mass_per1000_ug","mass_per100k_mg"
"89","JT",2024-04-15,0,8.66,0,127250,0,0
"90","JT",2024-07-08,0.17,9.96,6409.4595984,127250,50.3690341721022,5.03690341721022
"91","RB",2023-06-26,0,25.98,0,399424,0,0
"92","RB",2023-07-24,0,27.61,0,399424,0,0
"93","RB",2023-08-28,0,28.18,0,399424,0,0
"94","RB",2023-09-25,0,27.74,0,399424,0,0
"95","RB",2024-03-04,0,26.24,0,399424,0,0
"96","RB",2024-02-05,0,28.21,0,399424,0,0
"97","RB",2023-11-27,0,28.21,0,399424,0,0
"98","RB",2023-10-14,0,26.13,0,399424,0,0
"99","RB",2024-03-11,0,26.34,0,399424,0,0
"100","RB",2024-02-19,0,27.52,0,399424,0,0
"101","RB",2023-12-27,0,27.22,0,399424,0,0
"102","RB",2023-10-30,0,27.8,0,399424,0,0
"103","RB",2024-03-18,0,27.13,0,399424,0,0
"104","RB",2024-02-26,0,27.55,0,399424,0,0
"105","RB",2024-01-29,0,28.1,0,399424,0,0
"106","RB",2023-11-13,0,28.17,0,399424,0,0
"107","RB",2024-03-25,0,27.05,0,399424,0,0
"108","RB",2024-06-03,0,27,0,399424,0,0
"109","RB",2024-05-13,0,26.46,0,399424,0,0
"110","RB",2024-04-22,0,26.59,0,399424,0,0
"111","RB",2024-04-03,0,26.62,0,399424,0,0
"112","RB",2024-06-17,0,27.14,0,399424,0,0
"113","RB",2024-05-20,0,27.28,0,399424,0,0
"114","RB",2024-04-29,0,26.69,0,399424,0,0
"115","RB",2024-04-08,0,27.45,0,399424,0,0
"116","RB",2024-06-24,0,27.22,0,399424,0,0
"117","RB",2024-05-29,0,27.92,0,399424,0,0
"118","RB",2024-05-06,0,26.33,0,399424,0,0
"119","RB",2024-04-15,0,26.91,0,399424,0,0
"120","RB",2024-07-08,0,27.43,0,399424,0,0
